,主場,分區,分組,勝,勝差,勝率,區域,客場,負,近10場,連勝或連負,隊伍
0,34-7,40-12,12-4,59,-,.720,東區,25-16,23,6-4,負1,多倫多暴龍
1,27-14,33-19,12-4,55,4.0,.671,東區,28-13,27,6-4,勝1,波士頓塞爾提克
2,30-11,34-18,9-7,52,7.0,.634,東區,22-19,30,10-0,勝16,費城七六人
3,29-12,35-17,11-5,50,-,.610,東區,21-20,32,7-3,負1,克里夫蘭騎士
4,27-14,32-20,10-6,48,2.0,.585,東區,21-20,34,7-3,負1,印第安納溜馬
5,25-16,27-25,6-10,44,6.0,.537,東區,19-22,38,6-4,負1,密爾瓦基公鹿
6,26-15,31-21,11-5,44,-,.537,東區,18-23,38,5-5,勝1,邁阿密熱火
7,23-18,28-24,8-8,43,1.0,.524,東區,20-21,39,3-7,負1,華盛頓巫師
8,25-16,24-28,9-7,39,11.0,.476,東區,14-27,43,7-3,勝1,底特律活塞
9,21-20,22-30,11-5,36,8.0,.439,東區,15-26,46,5-5,勝1,夏洛特黃蜂
10,19-22,17-35,6-10,29,30.0,.354,東區,10-31,53,3-7,勝1,紐約尼克
11,15-26,19-33,1-15,28,31.0,.341,東區,13-28,54,5-5,負1,布魯克林籃網
12,17-24,21-31,4-12,27,23.0,.329,東區,10-31,55,3-7,負4,芝加哥公牛
13,17-24,15-37,5-11,25,19.0,.305,東區,8-33,57,4-6,勝1,奧蘭多魔術
14,16-25,12-40,5-11,24,20.0,.293,東區,8-33,58,3-7,負1,亞特蘭大老鷹
15,34-7,41-11,12-4,65,-,.793,西區,31-10,17,7-3,負1,休士頓火箭
16,29-12,34-18,13-3,58,-,.707,西區,29-12,24,4-6,負1,金州勇士
17,28-13,31-21,9-7,49,-,.598,西區,21-20,33,5-5,勝1,波特蘭拓荒者
18,24-17,27-25,9-7,48,17.0,.585,西區,24-17,34,6-4,勝5,紐奧良鵜鶘
19,27-14,28-24,5-11,48,1.0,.585,西區,21-20,34,5-5,勝3,奧克拉荷馬雷霆
20,28-13,34-18,7-9,48,1.0,.585,西區,20-21,34,7-3,負1,猶他爵士
21,33-8,29-23,9-7,47,18.0,.573,西區,14-27,35,5-5,負1,聖安東尼奧馬刺
22,30-11,34-18,10-6,47,2.0,.573,西區,17-24,35,6-4,勝3,明尼蘇達灰狼
23,31-10,28-24,9-7,46,3.0,.561,西區,15-26,36,7-3,負1,丹佛金塊
24,22-19,24-28,12-4,42,16.0,.512,西區,20-21,40,4-6,負4,洛杉磯快艇
25,20-21,19-33,6-10,35,23.0,.427,西區,15-26,47,3-7,勝1,洛杉磯湖人
26,14-27,14-38,5-11,27,31.0,.329,西區,13-28,55,4-6,勝1,沙加緬度國王
27,15-26,14-38,5-11,24,41.0,.293,西區,9-32,58,2-8,負4,達拉斯小牛
28,16-25,18-34,5-11,22,43.0,.268,西區,6-35,60,3-7,負2,孟菲斯灰熊
29,10-31,15-37,4-12,21,37.0,.256,西區,11-30,61,2-8,勝1,鳳凰城太陽
