,主場,分區,分組,勝,勝差,勝率,區域,客場,群組,負,近10場,連勝或連負,隊名
0,34-7,40-12,12-4,59,-,.720,東區,25-16,大西洋組,23,6-4,負1,多倫多暴龍
1,27-14,33-19,12-4,55,4.0,.671,東區,28-13,大西洋組,27,6-4,勝1,波士頓塞爾提克
2,30-11,34-18,9-7,52,7.0,.634,東區,22-19,大西洋組,30,10-0,勝16,費城七六人
3,19-22,17-35,6-10,29,30.0,.354,東區,10-31,大西洋組,53,3-7,勝1,紐約尼克
4,15-26,19-33,1-15,28,31.0,.341,東區,13-28,大西洋組,54,5-5,負1,布魯克林籃網
5,29-12,35-17,11-5,50,-,.610,東區,21-20,中央組,32,7-3,負1,克里夫蘭騎士
6,27-14,32-20,10-6,48,2.0,.585,東區,21-20,中央組,34,7-3,負1,印第安納溜馬
7,25-16,27-25,6-10,44,6.0,.537,東區,19-22,中央組,38,6-4,負1,密爾瓦基公鹿
8,25-16,24-28,9-7,39,11.0,.476,東區,14-27,中央組,43,7-3,勝1,底特律活塞
9,17-24,21-31,4-12,27,23.0,.329,東區,10-31,中央組,55,3-7,負4,芝加哥公牛
10,26-15,31-21,11-5,44,-,.537,東區,18-23,東南組,38,5-5,勝1,邁阿密熱火
11,23-18,28-24,8-8,43,1.0,.524,東區,20-21,東南組,39,3-7,負1,華盛頓巫師
12,21-20,22-30,11-5,36,8.0,.439,東區,15-26,東南組,46,5-5,勝1,夏洛特黃蜂
13,17-24,15-37,5-11,25,19.0,.305,東區,8-33,東南組,57,4-6,勝1,奧蘭多魔術
14,16-25,12-40,5-11,24,20.0,.293,東區,8-33,東南組,58,3-7,負1,亞特蘭大老鷹
15,28-13,31-21,9-7,49,-,.598,西區,21-20,西北組,33,5-5,勝1,波特蘭拓荒者
16,27-14,28-24,5-11,48,1.0,.585,西區,21-20,西北組,34,5-5,勝3,奧克拉荷馬雷霆
17,28-13,34-18,7-9,48,1.0,.585,西區,20-21,西北組,34,7-3,負1,猶他爵士
18,30-11,34-18,10-6,47,2.0,.573,西區,17-24,西北組,35,6-4,勝3,明尼蘇達灰狼
19,31-10,28-24,9-7,46,3.0,.561,西區,15-26,西北組,36,7-3,負1,丹佛金塊
20,29-12,34-18,13-3,58,-,.707,西區,29-12,太平洋組,24,4-6,負1,金州勇士
21,22-19,24-28,12-4,42,16.0,.512,西區,20-21,太平洋組,40,4-6,負4,洛杉磯快艇
22,20-21,19-33,6-10,35,23.0,.427,西區,15-26,太平洋組,47,3-7,勝1,洛杉磯湖人
23,14-27,14-38,5-11,27,31.0,.329,西區,13-28,太平洋組,55,4-6,勝1,沙加緬度國王
24,10-31,15-37,4-12,21,37.0,.256,西區,11-30,太平洋組,61,2-8,勝1,鳳凰城太陽
25,34-7,41-11,12-4,65,-,.793,西區,31-10,西南組,17,7-3,負1,休士頓火箭
26,24-17,27-25,9-7,48,17.0,.585,西區,24-17,西南組,34,6-4,勝5,紐奧良鵜鶘
27,33-8,29-23,9-7,47,18.0,.573,西區,14-27,西南組,35,5-5,負1,聖安東尼奧馬刺
28,15-26,14-38,5-11,24,41.0,.293,西區,9-32,西南組,58,2-8,負4,達拉斯小牛
29,16-25,18-34,5-11,22,43.0,.268,西區,6-35,西南組,60,3-7,負2,孟菲斯灰熊
