,主場,分區,分組,勝,勝差,勝率,客場,負,近10場,連勝或連負,隊伍
0,34-7,41-11,12-4,65,-,.793,31-10,17,7-3,負1,休士頓火箭
1,34-7,40-12,12-4,59,-,.720,25-16,23,6-4,負1,多倫多暴龍
2,29-12,34-18,13-3,58,-,.707,29-12,24,4-6,負1,金州勇士
3,27-14,33-19,12-4,55,4.0,.671,28-13,27,6-4,勝1,波士頓塞爾提克
4,30-11,34-18,9-7,52,7.0,.634,22-19,30,10-0,勝16,費城七六人
5,29-12,35-17,11-5,50,-,.610,21-20,32,7-3,負1,克里夫蘭騎士
6,28-13,31-21,9-7,49,-,.598,21-20,33,5-5,勝1,波特蘭拓荒者
7,27-14,32-20,10-6,48,2.0,.585,21-20,34,7-3,負1,印第安納溜馬
8,24-17,27-25,9-7,48,17.0,.585,24-17,34,6-4,勝5,紐奧良鵜鶘
9,27-14,28-24,5-11,48,1.0,.585,21-20,34,5-5,勝3,奧克拉荷馬雷霆
10,28-13,34-18,7-9,48,1.0,.585,20-21,34,7-3,負1,猶他爵士
11,33-8,29-23,9-7,47,18.0,.573,14-27,35,5-5,負1,聖安東尼奧馬刺
12,30-11,34-18,10-6,47,2.0,.573,17-24,35,6-4,勝3,明尼蘇達灰狼
13,31-10,28-24,9-7,46,3.0,.561,15-26,36,7-3,負1,丹佛金塊
14,25-16,27-25,6-10,44,6.0,.537,19-22,38,6-4,負1,密爾瓦基公鹿
15,26-15,31-21,11-5,44,-,.537,18-23,38,5-5,勝1,邁阿密熱火
16,23-18,28-24,8-8,43,1.0,.524,20-21,39,3-7,負1,華盛頓巫師
17,22-19,24-28,12-4,42,16.0,.512,20-21,40,4-6,負4,洛杉磯快艇
18,25-16,24-28,9-7,39,11.0,.476,14-27,43,7-3,勝1,底特律活塞
19,21-20,22-30,11-5,36,8.0,.439,15-26,46,5-5,勝1,夏洛特黃蜂
20,20-21,19-33,6-10,35,23.0,.427,15-26,47,3-7,勝1,洛杉磯湖人
21,19-22,17-35,6-10,29,30.0,.354,10-31,53,3-7,勝1,紐約尼克
22,15-26,19-33,1-15,28,31.0,.341,13-28,54,5-5,負1,布魯克林籃網
23,17-24,21-31,4-12,27,23.0,.329,10-31,55,3-7,負4,芝加哥公牛
24,14-27,14-38,5-11,27,31.0,.329,13-28,55,4-6,勝1,沙加緬度國王
25,17-24,15-37,5-11,25,19.0,.305,8-33,57,4-6,勝1,奧蘭多魔術
26,16-25,12-40,5-11,24,20.0,.293,8-33,58,3-7,負1,亞特蘭大老鷹
27,15-26,14-38,5-11,24,41.0,.293,9-32,58,2-8,負4,達拉斯小牛
28,16-25,18-34,5-11,22,43.0,.268,6-35,60,3-7,負2,孟菲斯灰熊
29,10-31,15-37,4-12,21,37.0,.256,11-30,61,2-8,勝1,鳳凰城太陽
